letter	AvantGarde-BookOblique	AvantGarde-Book	AvantGarde-DemiOblique	AvantGarde-Demi	Bookman-Demi	Bookman-Demiltalic	Bookman-LightItalic	Bookman-Light	Courier-Bold	Courier-Boldoblique	Courier-Oblique	Courier	Helvetica-BoldOblique	Helvetica-Bold	Helvetica-Narrow-BoldOblique	Helvetica-Narrow-Bold	Helvetica-Narrow-Oblique	Helvetica-Narrow	Helvetica-Oblique	Helvetica	NewCenturySchlbk-BoldItalic	NewCenturySchlbk-Bold	NewCenturySchlbk-Italic	NewCenturySchlbk-Roman	Palatino-Bold	Palatino-Boldltalic	Palatino-Italic	Palatino-Roman	Symbol	Times-Bold	Times-Boldltalic	Times-Italic	Times-Roman	ZapfChancery-MediumItalic	ZapfDingbats
!	.01079500000000000000	.01079500000000000000	.01068916666666666666	.01038116666666666666	.01312333333333333333	.01016000000000000000	.01164166666666666666	.01090041666666666666	.02169550000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01249866666666666666	.01208608333333333333	.01026583333333333333	.01005416666666666666	.00867833333333333333	.00849353333333333333	.01058333333333333333	.01016000000000000000	.01239325000000000000	.01111250000000000000	.01239325000000000000	.01079500000000000000	.01026583333333333333	.01016000000000000000	.01239325000000000000	.01037166666666666666	.01208608333333333333	.01239325000000000000	.01016000000000000000	.01239325000000000000	.01208608333333333333	.01048660000000000000	.03535616666666666666
#	.02053166666666666666	.02021416666666666666	.02053166666666666666	.02042583333333333333	.02391833333333333333	.02063866666666666666	.02243666666666666666	.02243666666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02074333333333333333	.02053283333333333333	.01703916666666666666	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02074333333333333333	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01852083333333333333	.01836166666666666666	.01693333333333333333	.03535616666666666666
$	.02010833333333333333	.02021416666666666666	.02032000000000000000	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02063750000000000000	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02053166666666666666	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.02021416666666666666	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01611726666666666666	.03557000000000000000
%	.02799083333333333333	.02817733333333333333	.03111500000000000000	.03122083333333333333	.03432150000000000000	.03259666666666666666	.02889133333333333333	.03286116666666666666	.02196050000000000000	.03259666666666666666	.02169550000000000000	.02169550000000000000	.03217333333333333333	.03249083333333333333	.02633633333333333333	.02650333333333333333	.02633633333333333333	.02650333333333333333	.03217333333333333333	.03259666666666666666	.03238500000000000000	.03049150000000000000	.03038566666666666666	.03007933333333333333	.03227916666666666666	.03259666666666666666	.03238500000000000000	.03061683333333333333	.03049150000000000000	.03608716666666666666	.03259666666666666666	.03038566666666666666	.03038566666666666666	.02457283333333333333	.02614083333333333333
&	.02753616666666666666	.02753616666666666666	.02497666666666666666	.02477500000000000000	.02926250000000000000	.02413000000000000000	.02963333333333333333	.02926250000000000000	.02196050000000000000	.02413000000000000000	.02169550000000000000	.02169550000000000000	.02627100000000000000	.02648266666666666666	.02160366666666666666	.02160366666666666666	.01994833333333333333	.01994833333333333333	.02423583333333333333	.02413000000000000000	.03238500000000000000	.03115016666666666666	.03104433333333333333	.02942950000000000000	.03027983333333333333	.02413000000000000000	.02836333333333333333	.02836333333333333333	.02846916666666666666	.03038566666666666666	.02413000000000000000	.02836333333333333333	.02836333333333333333	.02837333333333333333	.02868083333333333333
'	.01282236666666666666	.01292861666666666666	.01048660000000000000	.01038116666666666666	.01164166666666666666	.00809253333333333333	.01017860000000000000	.00836083333333333333	.02169550000000000000	.00809253333333333333	.02169550000000000000	.02169550000000000000	.01047750000000000000	.01016000000000000000	.00859895000000000000	.00849353333333333333	.00703088333333333333	.00681963333333333333	.00849105000000000000	.00809253333333333333	.00984250000000000000	.00915126666666666666	.00783166666666666666	.00806193333333333333	.01026583333333333333	.00809253333333333333	.01037166666666666666	.01037166666666666666	.01631156666666666666	.01239325000000000000	.00809253333333333333	.01208608333333333333	.01239325000000000000	.00934393333333333333	.02868083333333333333
(	.01388690000000000000	.01356981666666666666	.01429700000000000000	.01397991666666666666	.01195916666666666666	.01208608333333333333	.01069826666666666666	.01090041666666666666	.02169550000000000000	.01208608333333333333	.02169550000000000000	.02169550000000000000	.01291166666666666666	.01249908333333333333	.01058333333333333333	.01005416666666666666	.01047750000000000000	.01005416666666666666	.01260450000000000000	.01208608333333333333	.01513416666666666666	.01418166666666666666	.01270000000000000000	.01208608333333333333	.01228741666666666666	.01208608333333333333	.01239325000000000000	.01239325000000000000	.01249908333333333333	.01239325000000000000	.01208608333333333333	.01239325000000000000	.01239325000000000000	.01016000000000000000	.02868083333333333333
)	.01356981666666666666	.01356981666666666666	.01397991666666666666	.01397991666666666666	.01195916666666666666	.01260491666666666666	.01080450000000000000	.01127125000000000000	.02169550000000000000	.01260491666666666666	.02169550000000000000	.02169550000000000000	.01238250000000000000	.01249908333333333333	.01016000000000000000	.01005416666666666666	.01005416666666666666	.01005416666666666666	.01228741666666666666	.01260491666666666666	.01502833333333333333	.01449916666666666666	.01323991666666666666	.01208608333333333333	.01228741666666666666	.01260491666666666666	.01239325000000000000	.01239325000000000000	.01249908333333333333	.01239325000000000000	.01260491666666666666	.01239325000000000000	.01239325000000000000	.00857250000000000000	.02508250000000000000
*	.01555750000000000000	.01555750000000000000	.01611685000000000000	.01611726666666666666	.01703916666666666666	.01460500000000000000	.01622268333333333333	.01632893333333333333	.02196050000000000000	.01460500000000000000	.02169550000000000000	.02169550000000000000	.01449916666666666666	.01449916666666666666	.01195916666666666666	.01174750000000000000	.01185333333333333333	.01174750000000000000	.01449916666666666666	.01460500000000000000	.01836166666666666666	.01846750000000000000	.01836166666666666666	.01809633333333333333	.01619250000000000000	.01460500000000000000	.01439333333333333333	.01439333333333333333	.01809633333333333333	.01836166666666666666	.01460500000000000000	.01809633333333333333	.01836166666666666666	.01566333333333333333	.03481916666666666666
+	.02211916666666666666	.02211916666666666666	.02185450000000000000	.02185450000000000000	.02206616666666666666	.02116666666666666666	.02169550000000000000	.02206616666666666666	.02196050000000000000	.02116666666666666666	.02169550000000000000	.02196050000000000000	.02127250000000000000	.02148416666666666666	.01746250000000000000	.01746250000000000000	.01746250000000000000	.01746250000000000000	.02127250000000000000	.02116666666666666666	.02222500000000000000	.02233083333333333333	.02222500000000000000	.02201333333333333333	.02211916666666666666	.02116666666666666666	.02222500000000000000	.02222500000000000000	.02021416666666666666	.02089050000000000000	.02116666666666666666	.02439416666666666666	.02067683333333333333	.01883833333333333333	.03409116666666666666
