> seis_32
-5 -69
-5 -68
-5 -67
-5 -66
-5 -65
-5 -64
-5 -63
-5 -62
-5 -61
-5 -60
-6 -60
-7 -60
-7 -59
-7 -58
-7 -57
-7 -56
-8 -56
-8 -55
-9 -55
-9 -54
-10 -54
-10 -53
-10 -52
-10 -51
-10 -50
-10 -49
-11 -49
-12 -49
-13 -49
-14 -49
-15 -49
-16 -49
-17 -49
-18 -49
-19 -49
-20 -49
-21 -49
-22 -49
-22 -48
-22 -47
-22 -46
-23 -46
-24 -46
-24 -47
-25 -47
-26 -47
-26 -48
-27 -48
-28 -48
-28 -49
-29 -49
-30 -49
-30 -50
-31 -50
-32 -50
-32 -51
-33 -51
-34 -51
-34 -52
-35 -52
-36 -52
-37 -52
-38 -52
-39 -52
-40 -52
-40 -53
-40 -54
-40 -55
-41 -55
-42 -55
-43 -55
-44 -55
-45 -55
-46 -55
-47 -55
-48 -55
-49 -55
-50 -55
-51 -55
-52 -55
-53 -55
-54 -55
-55 -55
-55 -54
-55 -53
-55 -52
-55 -51
-55 -50
-55 -49
-56 -49
-57 -49
-58 -49
-59 -49
-60 -49
-61 -49
-62 -49
-63 -49
-64 -49
-65 -49
-65 -50
-65 -51
-65 -52
-66 -52
-67 -52
-68 -52
-68 -51
-67 -51
-67 -50
-67 -49
-66 -49
-66 -48
-66 -47
-66 -46
-66 -45
-65 -45
-64 -45
-64 -44
-64 -43
-63 -43
-63 -42
-62 -42
-62 -41
-62 -40
-61 -40
-60 -40
-60 -39
-59 -39
-58 -39
-57 -39
-56 -39
-56 -38
-56 -37
-56 -36
-56 -35
-55 -35
-54 -35
-53 -35
-53 -34
-52 -34
-52 -33
-51 -33
-51 -32
-50 -32
-50 -31
-49 -31
-49 -30
-49 -29
-48 -29
-48 -28
-48 -27
-48 -26
-47 -26
-47 -25
-46 -25
-45 -25
-44 -25
-44 -24
-43 -24
-42 -24
-41 -24
-41 -23
-40 -23
-40 -22
-40 -21
-39 -21
-39 -20
-39 -19
-39 -18
-38 -18
-38 -17
-38 -16
-38 -15
-38 -14
-38 -13
-37 -13
-37 -12
-36 -12
-36 -11
-35 -11
-35 -10
-34 -10
-34 -9
-34 -8
-34 -7
-34 -6
-34 -5
-35 -5
-35 -4
-36 -4
-37 -4
-37 -3
-38 -3
-38 -2
-39 -2
-40 -2
-41 -2
-42 -2
-43 -2
-43 -1
-44 -1
-45 -1
-45 0
-46 0
-47 0
-48 0
-49 0
-49 1
-49 2
-49 3
-50 3
-50 4
-50 5
-50 6
-51 6
-52 6
-52 7
-53 7
-54 7
-55 7
-56 7
-57 7
-57 8
-58 8
-58 9
-59 9
-60 9
-60 10
-60 11
-60 12
-59 12
-59 13
-59 14
-59 15
-59 16
-59 17
-59 18
-60 18
-60 19
-60 20
-61 20
-62 20
-63 20
-64 20
-65 20
-66 20
-67 20
-68 20
-68 19
-69 19
-69 20
-69 21
-69 22
-69 23
-69 24
-69 25
-69 26
-69 27
-69 28
-69 29
-69 30
-69 31
-69 32
-69 33
-69 34
-69 35
-69 36
-69 37
-69 38
-69 39
-69 40
-69 41
-69 42
-68 42
-67 42
-66 42
-66 43
-65 43
-65 44
-64 44
-63 44
-62 44
-62 45
-61 45
-60 45
-59 45
-59 46
-59 47
-58 47
-57 47
-56 47
-56 46
-55 46
-54 46
-53 46
-52 46
-52 47
-52 48
-52 49
-52 50
-52 51
-52 52
-52 53
-52 54
-52 55
-52 56
-52 57
-52 58
-52 59
-52 60
-51 60
-50 60
-49 60
-48 60
-47 60
-46 60
-45 60
-44 60
-43 60
-42 60
-42 61
-42 62
-41 62
-40 62
-40 63
-40 64
-40 65
-39 65
-38 65
-37 65
-36 65
-35 65
-35 66
-34 66
-33 66
-33 67
-32 67
-31 67
-30 67
-30 66
-30 65
-30 64
-30 63
-30 62
-30 61
-29 61
-28 61
-27 61
-26 61
-25 61
-24 61
-23 61
-22 61
-21 61
-20 61
-19 61
-18 61
-17 61
-16 61
-15 61
-14 61
-13 61
-12 61
-11 61
-10 61
-9 61
-8 61
-7 61
-6 61
-5 61
-4 61
-4 60
-4 59
-5 59
-6 59
-7 59
-8 59
-8 58
-8 57
-8 56
-9 56
-9 55
-10 55
-11 55
-11 54
-11 53
-11 52
-11 51
-10 51
-9 51
-8 51
-7 51
-6 51
-6 50
-5 50
-4 50
-3 50
-3 49
-4 49
-5 49
-5 48
-5 47
-5 46
-5 45
-5 44
-6 44
-7 44
-8 44
-9 44
-10 44
-10 43
-10 42
-10 41
-10 40
-10 39
-10 38
-10 37
-10 36
-10 35
-11 35
-12 35
-13 35
-14 35
-15 35
-16 35
-17 35
-18 35
-19 35
-20 35
-20 34
-21 34
-22 34
-22 33
-22 32
-22 31
-22 30
-22 29
-22 28
-22 27
-22 26
-22 25
-21 25
-20 25
-19 25
-18 25
-18 24
-18 23
-18 22
-18 21
-18 20
-18 19
-18 18
-18 17
-18 16
-18 15
-18 14
-18 13
-18 12
-18 11
-18 10
-18 9
-18 8
-18 7
-18 6
-18 5
-18 4
-18 3
-18 2
-17 2
